"Model","AIC","R2","Dev_Expl"
"Full",149.491856760388,0.68877007038362,0.685476503080866
"No precip (tp, lag1, lag2, lag3)",149.164432406124,0.662014734399396,0.662808104654604
"Linear temp (final)",149.159500790415,0.662014712498655,0.662807999094121
