Metric,Default_0.5,Optimal
Accuracy,0.9246376811594202,0.9130434782608695
Sensitivity,0.9635036496350365,0.916058394160584
Specificity,0.7746478873239436,0.9014084507042254
Precision,0.9428571428571428,0.9728682170542635
F1 Score,0.9530685920577618,0.943609022556391
ROC AUC,0.9717795826051198,0.9717795826051198
Threshold,0.5,0.26419540115898943
